instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange
NSE_EQ|INE343H01029,13332.0,SOLARINDS,SOLAR INDUSTRIES (I) LTD,9399.7,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE880Y01017,1231.0,SOLEX,SOLEX ENERGY LIMITED,1473.4,,,0.05,200.0,EQUITY,,NSE
NSE_EQ|INE355A01028,3880.0,SOMANYCERA,SOMANY CERAMICS LIMITED,722.6,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE314C01013,9104.0,SOMATEX,SOMA TEXTILEI NDUSTRIES L,35.94,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE323J01019,17794.0,SOMICONVEY,SOMI CONVEYOR BELT. LTD.,146.77,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE073K01018,4684.0,SONACOMS,SONA BLW PRECISION FRGS L,662.35,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE0Q6H01012,23052.0,SONAMAC,SONA MACHINERY LIMITED,157.5,,,0.05,1000.0,EQUITY,,NSE
NSE_EQ|INE00LM01029,8806.0,SONAMLTD,SONAM LIMITED,39.22,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE269A01021,6596.0,SONATSOFTW,SONATA SOFTWARE LTD,579.25,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE0JZA01018,9458.0,SONUINFRA,SONU INFRATECH LIMITED,50.45,,,0.05,3000.0,EQUITY,,NSE
NSE_EQ|INE0O2D01012,14993.0,SOTAC,SOTAC PHARMACEUTICALS LTD,122.0,,,0.05,1200.0,EQUITY,,NSE
NSE_EQ|INE035D01020,3021.0,SOTL,SAVITA OIL TECHNOLO. LTD,512.8,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE683A01023,5948.0,SOUTHBANK,THE SOUTH INDIAN BANK LTD,27.42,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE980Y01015,9678.0,SOUTHWEST,SOUTH WEST PINNACLE LTD,119.05,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE212I01016,18252.0,SPAL,S. P. APPARELS LIMITED,593.85,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE572J01011,11435.0,SPANDANA,SPANDANA SPHOORTY FIN LTD,776.7,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE232I01014,14788.0,SPARC,SUN PHARMA ADV.RES.CO.LTD,222.36,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE970N01027,19372.0,SPCENET,SPACENET ENTERS IND LTD,30.83,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE247M01014,27107.0,SPECIALITY,SPECIALITY REST LTD,173.13,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE01EO01010,5060.0,SPECTRUM,SPECTRUM ELECTRIC IND LTD,1868.5,,,0.05,125.0,EQUITY,,NSE
NSE_EQ|INE0OL001018,16876.0,SPECTSTM,SPECTRUM TALENT MGMT LTD,85.95,,,0.05,800.0,EQUITY,,NSE
NSE_EQ|INE020801028,8163.0,SPENCERS,SPENCER S RETAIL LIMITED,87.9,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE147A01011,3252.0,SPIC,SPIC LTD,79.2,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE978G01016,11935.0,SPLIL,SPL INDUSTRIES LIMITED,59.4,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE663A01033,9617.0,SPLPETRO,SUPREME PETROCHEM LIMITED,731.15,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE937A01023,3321.0,SPMLINFRA,SPML INFRA LIMITED,155.4,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE885H01011,10733.0,SPORTKING,SPORTKING INDIA LIMITED,804.7,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE0JW501011,8527.0,SPRL,SP REFRACTORIES LIMITED,360.05,,,0.05,800.0,EQUITY,,NSE
NSE_EQ|INE501W01021,23448.0,SPTL,SINTEX PLASTICS TECH LTD,1.01,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE268L01020,21099.0,SPYL,SHEKHAWATI POLY-YARN LTD.,4.12,,,0.01,1.0,EQUITY,,NSE
NSE_EQ|INE099F01013,31837.0,SREEL,SREELEATHERS LIMITED,278.35,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE647A01010,3273.0,SRF,SRF LTD,2365.9,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE559N01010,18119.0,SRGHFL,SRG HOUSING FINANCE L,321.35,,,0.05,1.0,EQUITY,,NSE
NSE_EQ|INE917H01012,14582.0,SRHHYPOLTD,SREE RAYALSEEMA HHP LTD.,563.75,,,0.05,1.0,EQUITY,,NSE
